09/01/2018,00070,18-25-28-46-50-51|15
06/01/2018,00069,04-11-24-35-41-45|17
04/01/2018,00068,01-07-31-35-46-55|51
02/01/2018,00067,04-07-08-34-37-47|24
30/12/2017,00066,08-09-36-37-39-50|07
28/12/2017,00065,07-18-26-29-31-35|34
26/12/2017,00064,07-11-13-18-26-42|49
23/12/2017,00063,07-08-09-13-28-44|12
21/12/2017,00062,22-23-27-35-37-46|19
19/12/2017,00061,02-03-20-25-38-44|12
16/12/2017,00060,05-23-37-41-43-53|25
14/12/2017,00059,11-12-22-28-46-50|07
12/12/2017,00058,06-07-08-21-32-39|27
09/12/2017,00057,05-34-35-42-49-52|21
07/12/2017,00056,03-14-26-35-44-54|25
05/12/2017,00055,27-38-40-42-46-55|05
02/12/2017,00054,09-37-45-50-53-54|40
30/11/2017,00053,05-13-26-37-53-55|28
28/11/2017,00052,02-19-39-49-51-53|20
25/11/2017,00051,02-09-16-46-52-55|50
23/11/2017,00050,01-02-03-18-25-50|14
21/11/2017,00049,05-08-23-37-38-54|55
18/11/2017,00048,11-12-26-42-50-54|17
16/11/2017,00047,01-16-22-25-47-48|21
14/11/2017,00046,20-24-29-41-47-49|22
11/11/2017,00045,12-26-33-35-36-44|01
09/11/2017,00044,02-03-06-23-34-36|50
07/11/2017,00043,19-32-36-37-42-54|28
04/11/2017,00042,02-08-12-44-46-52|09
02/11/2017,00041,03-09-12-21-51-52|07
31/10/2017,00040,07-13-24-45-47-52|33
28/10/2017,00039,13-18-35-36-41-48|47
26/10/2017,00038,02-10-15-30-34-50|03
24/10/2017,00037,01-02-09-13-32-35|52
21/10/2017,00036,04-09-13-16-18-49|30
19/10/2017,00035,06-15-17-24-40-45|39
17/10/2017,00034,01-26-36-40-50-54|31
14/10/2017,00033,14-18-29-35-44-49|54
12/10/2017,00032,05-08-11-31-37-42|52
10/10/2017,00031,29-33-43-44-45-50|41
07/10/2017,00030,31-34-40-42-43-49|16
05/10/2017,00029,01-03-14-19-35-41|20
03/10/2017,00028,21-31-35-41-46-50|23
30/09/2017,00027,04-17-23-25-34-46|24
28/09/2017,00026,20-27-28-31-39-47|10
26/09/2017,00025,14-15-18-30-36-49|19
23/09/2017,00024,07-08-27-36-44-53|49
21/09/2017,00023,09-12-16-24-43-51|39
19/09/2017,00022,03-32-36-41-44-53|45
16/09/2017,00021,09-12-21-26-29-52|24
14/09/2017,00020,22-23-32-43-44-51|15
12/09/2017,00019,06-10-12-47-48-51|35
09/09/2017,00018,01-15-23-36-43-54|12
07/09/2017,00017,04-18-22-31-32-40|08
05/09/2017,00016,01-02-08-13-23-39|09
02/09/2017,00015,05-09-11-18-19-37|50
31/08/2017,00014,08-20-27-35-36-47|18
29/08/2017,00013,04-12-15-23-24-41|44
26/08/2017,00012,17-25-30-31-36-41|20
24/08/2017,00011,05-16-18-37-42-46|10
22/08/2017,00010,10-24-31-32-38-44|14
19/08/2017,00009,07-11-13-15-26-51|36
17/08/2017,00008,11-12-20-30-32-34|53
15/08/2017,00007,07-11-19-32-33-51|30
12/08/2017,00006,06-16-20-32-38-51|34
10/08/2017,00005,10-11-19-41-50-54|03
08/08/2017,00004,19-36-39-41-46-51|38
05/08/2017,00003,01-05-11-32-40-45|43
03/08/2017,00002,04-09-24-25-27-45|40
01/08/2017,00001,05-10-14-23-24-38|35
